hwt_15,hwt_min,leading_user_type,following_user_type,overtaking,av,other_user_type,hour,minutes,date,traffic_light,site,city,u1_min_speed,u1_max_speed,u2_min_speed,u2_max_speed,u1_min_15_acc,u1_max_85_acc,u2_min_15_acc,u2_max_85_acc,nb_users_15_s,nb_users_30_s,pedestrian_15_s,pedestrian_30_s,cyclist_15_s,cyclist_30_s
8.0,7.866666666666666,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,1.7155682414113453,67.50359150545611,2.775750227307485,69.26829069842799,-4.348392939642661,0.8044795634719172,-4.54505658807975,0.2658050046726048,7,11,0,0,0,0
14.3,14.266666666666667,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,3.8784387233529296,65.08557163656819,1.7155682414113453,67.50359150545611,-4.176515217220733,0.755327373880677,-4.348392939642661,0.8044795634719172,6,10,0,0,0,0
9.965,9.033333333333333,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,2.3155425731588934,37.65084575074824,3.8784387233529296,65.08557163656819,-2.059705730400848,0.9960583152254004,-4.176515217220733,0.755327373880677,5,11,0,0,0,0
16.166666666666668,14.133333333333333,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,1.63702557530588,57.3851691692219,2.3155425731588934,37.65084575074824,-3.7507740796745592,0.4407226231476289,-2.059705730400848,0.9960583152254004,6,11,0,0,0,0
2.9,2.066666666666667,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,3.7719172476898435,54.47848275195553,1.63702557530588,57.3851691692219,-3.42576116259897,0.812188927883549,-3.7507740796745592,0.4407226231476289,6,11,0,0,0,0
18.1,17.466666666666665,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,2.1329092401331047,84.05658574596308,3.7719172476898435,54.47848275195553,-8.469206294102907,1.0351766284174613,-3.42576116259897,0.812188927883549,10,11,0,0,0,0
9.566666666666666,9.533333333333333,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,4.801389118107092,83.46602786236815,2.1329092401331047,84.05658574596308,-7.420790383527353,1.6108142857692853,-8.469206294102907,1.0351766284174613,8,11,0,0,0,0
47.666666666666664,47.166666666666664,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,4.44915119279613,58.7796200291697,4.801389118107092,83.46602786236815,-4.845629802240003,3.1800701047994875,-7.420790383527353,1.6108142857692853,5,7,0,0,0,0
0.16666666666666666,0.16666666666666666,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,30.95864421245392,55.66525257814454,4.44915119279613,58.7796200291697,-9.133764080884713,18.90047195868042,-4.845629802240003,3.1800701047994875,5,5,0,0,0,0
37.01,36.96666666666667,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,1.961595041131792,72.28903345372298,30.95864421245392,55.66525257814454,-5.563717508787217,1.359540272289891,-9.133764080884713,18.90047195868042,9,12,0,0,0,0
4.866666666666666,4.3,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,2.098243950126743,78.11449907546324,1.961595041131792,72.28903345372298,-6.461944548365266,1.6272685519450623,-5.563717508787217,1.359540272289891,9,12,0,0,0,0
2.8816666666666664,2.5,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,4.816938228553584,23.23505827802109,2.098243950126743,78.11449907546324,-5.538067031675493,4.484357326700566,-6.461944548365266,1.6272685519450623,9,12,0,0,0,0
7.566666666666666,7.466666666666667,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,4.215149657615197,67.65526827143113,4.816938228553584,23.23505827802109,-5.361264859685072,1.877203304261062,-5.538067031675493,4.484357326700566,9,11,0,0,0,0
4.533333333333333,3.533333333333333,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,3.631777316162172,70.49126149239702,4.215149657615197,67.65526827143113,-6.588963853455028,1.2969880056710426,-5.361264859685072,1.877203304261062,10,11,0,0,0,0
19.1,18.866666666666667,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,3.0184349237364643,76.2508694786235,3.631777316162172,70.49126149239702,-5.256571073136454,1.382338729151336,-6.588963853455028,1.2969880056710426,5,11,0,0,0,0
2.5,2.3,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,4.932883530803517,69.02865883291396,3.0184349237364643,76.2508694786235,-5.838986885787681,2.5383403989854445,-5.256571073136454,1.382338729151336,3,12,0,0,0,0
33.3,32.166666666666664,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,2.170281173763538,67.52057971415654,4.932883530803517,69.02865883291396,-5.3832792108379,1.8425534070377352,-5.838986885787681,2.5383403989854445,7,10,0,0,0,0
11.1,11.1,1,1,0,,1,12,39,2019-11-27,0,montcalm-chartwell,0,5.128105507051621,78.7362651746491,2.170281173763538,67.52057971415654,-5.925366103833893,2.4793770569957854,-5.3832792108379,1.8425534070377352,8,9,0,0,0,0
6.566666666666666,6.4,1,1,0,0,1,12,39,2019-11-27,0,montcalm-chartwell,0,18.92197138875323,57.42918151127758,5.128105507051621,78.7362651746491,-6.17326244277238,4.2313380824712485,-5.925366103833893,2.4793770569957854,8,9,0,0,0,0
12.433333333333334,12.233333333333333,1,1,0,0,1,12,39,2019-11-27,0,montcalm-chartwell,0,3.3562239178428466,73.62860537987609,18.92197138875323,57.42918151127758,-6.395890964857797,0.7137016038505608,-6.17326244277238,4.2313380824712485,5,9,0,0,0,0
